ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
12377879,3,1,none,right,0,94,94,bad
12377879,3,2,none,right,261,81,175,bad
12377879,3,3,none,right,165,95,270,bad
12377879,3,4,none,right,124,94,364,bad
12377879,3,5,none,right,853,86,450,bad
12377879,3,6,none,right,162,81,531,bad
12377879,3,7,none,right,52,90,621,bad
12377879,3,8,none,right,886,86,707,bad
12377879,3,9,none,right,53,64,771,bad
12377879,3,10,none,right,125,40,811,bad
12377879,3,11,none,right,260,54,865,bad
12377879,3,12,none,right,38,61,926,bad
12377879,3,13,none,right,199,73,999,bad
12377879,3,14,none,right,588,71,1070,bad
12377879,3,15,top,right,322,80,1150,bad
12377879,3,16,top,right,180,68,1218,bad
12377879,3,17,top,right,78,74,1292,bad
12377879,3,18,top,right,120,68,1360,bad
12377879,3,19,top,right,12,61,1421,bad
12377879,3,20,top,right,45,74,1495,bad
12377879,3,21,top,right,69,65,1560,bad
12377879,3,22,top,right,1797,56,1616,bad
12377879,3,23,top,right,284,61,1677,bad
12377879,3,24,top,right,11,73,1750,bad
12377879,3,25,top,right,180,68,1818,bad
12377879,3,26,top,right,109,62,1880,bad
12377879,3,27,top,right,76,78,1958,bad
12377879,3,28,top,right,77,75,2033,bad
12377879,3,29,top,right,844,59,2092,bad
12377879,3,30,top,right,99,74,2166,bad
12706055,1,1,none,top,5441,59,59,???
12706055,1,2,none,right,1320,20,79,???
12706055,1,3,none,right,1040,28,107,???
12706055,1,4,none,left,484,29,136,???
12706055,1,5,none,bottom,306,40,176,???
12706055,1,6,none,top,320,58,234,???
12706055,1,7,none,top,457,58,292,???
12706055,1,8,none,top,837,53,345,???
12706055,1,9,none,top,1916,57,402,???
12706055,1,10,none,top,882,50,452,???
12706055,1,11,none,top,842,53,505,???
12706055,1,12,none,top,856,50,555,???
12706055,1,13,none,top,639,51,606,???
12706055,1,14,none,top,427,39,645,???
12706055,1,15,none,right,396,20,665,???
12706055,1,16,none,bottom,332,49,714,???
12706055,1,17,none,bottom,359,43,757,???
12706055,1,18,none,bottom,327,46,803,???
12706055,1,19,none,bottom,326,37,840,???
12706055,1,20,right,right,1141,38,878,???
12706055,1,21,right,right,1551,42,920,???
12706055,1,22,right,right,714,36,956,???
12706055,1,23,right,top,1064,5,961,???
